ID=C005
Name=Shaikha
Password=b14418e7e85e9ffa3543b93e6c2e52daea05cd8ea4eb2a4b3dcc2c4fd32d48fd
Temporary Password=false
Failed Login Attempts=0
Security Lockout Until=null
Email=shaikha@gmail.com
Address=Manama
PhoneNumber=66557788
Account=BH00ACME00000000000051,Checking,6500.0,0,0.0,true
DebitCard=BH00ACME00000000000051,Mastercard
Account=BH00ACME00000000000052,Saving,20250.0,0,0.0,true
Transaction=2026-09-16T14:01:42.170670,Deposit,100.0,BH00ACME00000000000052,300.0
Transaction=2026-09-16T14:12:56.112974,Withdrawal,100.0,BH00ACME00000000000052,200.0
Transaction=2026-09-16T14:34:14.311753,Transfer Between Own Accounts,50.0,BH00ACME00000000000051,BH00ACME00000000000052,605.0
Transaction=2026-09-16T14:53:40.066862,Transfer To Another Customer,5.0,BH00ACME00000000000051,C001,500.0
Transaction=2026-09-16T20:42:25.312679,Transfer Between Own Accounts,50.0,BH00ACME00000000000052,BH00ACME00000000000051,200.0
Transaction=2026-09-16T23:22:59.453783,Deposit,10000.0,BH00ACME00000000000051,,10500.0,
Transaction=2026-09-16T23:23:51.209268,Withdrawal,4000.0,BH00ACME00000000000051,,6500.0,
Transaction=2026-09-17T00:06:17.799315,Withdrawal,3000.0,BH00ACME00000000000051,,3500.0,
Transaction=2026-09-17T00:06:33.536988,Withdrawal,1500.0,BH00ACME00000000000051,,2000.0,
Transaction=2026-09-17T00:06:53.353022,Withdrawal,400.0,BH00ACME00000000000051,,1600.0,
Transaction=2026-09-17T00:10:44.435290,Withdrawal,100.0,BH00ACME00000000000051,,1500.0,
Transaction=2026-09-17T00:15:54.749202,Deposit,20000.0,BH00ACME00000000000051,,21500.0,
Transaction=2026-09-17T00:16:20.329895,Transfer Between Own Accounts,10000.0,BH00ACME00000000000051,BH00ACME00000000000052,11500.0,
Transaction=2026-09-17T00:16:48.988079,Transfer Between Own Accounts,9000.0,BH00ACME00000000000051,BH00ACME00000000000052,2500.0,
Transaction=2026-09-17T00:17:44.406869,Transfer Between Own Accounts,1000.0,BH00ACME00000000000051,BH00ACME00000000000052,1500.0,
Transaction=2026-09-17T00:18:59.309844,Deposit,15000.0,BH00ACME00000000000051,,16500.0,
Transaction=2026-09-17T00:19:45.247960,Transfer To Another Customer,6000.0,BH00ACME00000000000051,C001,10500.0,
Transaction=2026-09-17T00:19:56.605858,Transfer To Another Customer,3000.0,BH00ACME00000000000051,C001,7500.0,
Transaction=2026-09-17T00:20:23.863180,Transfer To Another Customer,1000.0,BH00ACME00000000000051,C001,6500.0,
